Breed,Age (Months),Weight (lb),Gender ,Energy Level,Health Concerns,Weight Goal max (lb),Recommended Exercise Duration (minutes)
German Shepherd,1,8,Male,Medium,None,7.25,30 minutes
German Shepherd,2,20,Male,Medium,None,18,30 minutes
German Shepherd,3,30,Male,Medium,None,26,30 minutes
German Shepherd,4,38,Male,High,None,37.5,45 minutes
German Shepherd,5,47,Male,High,None,44.5,45 minutes
German Shepherd,6,56,Male,High,None,53,45 minutes
German Shepherd,7,63,Male,High,None,59.5,60 minutes
German Shepherd,8,68,Male,High,None,64,60 minutes
German Shepherd,9,71,Male,High,None,67.5,60 minutes
German Shepherd,10,73,Male,High,None,69.5,60 minutes
German Shepherd,11,76,Male,High,None,73,60 minutes
German Shepherd,12,78,Male,High,None,75,60 minutes
German Shepherd,18,78,Male,High,None,75,60 minutes
German Shepherd,24,80,Male,High,None,77.5,60 minutes
German Shepherd,30,88,Male,High,None,83.5,90 minutes
German Shepherd,36,88,Male,High,None,83.5,90 minutes
German Shepherd,42,93,Male,High,None,88,90 minutes
German Shepherd,48,93,Male,High,None,88,90 minutes
German Shepherd,54,93,Male,High,None,88,90 minutes
German Shepherd,60,93,Male,High,None,88,90 minutes
German Shepherd,66,93,Male,High,None,88,90 minutes
German Shepherd,72,93,Male,High,None,88,90 minutes
German Shepherd,78,93,Male,High,None,88,90 minutes
German Shepherd,84,93,Male,High,None,88,90 minutes
German Shepherd,90,88,Male,Medium,None,88,45 minutes
German Shepherd,96,88,Male,Medium,None,88,45 minutes
German Shepherd,102,88,Male,Medium,None,88,30 minutes
German Shepherd,108,88,Male,Medium,None,88,30 minutes
German Shepherd,114,88,Male,Medium,None,88,30 minutes
German Shepherd,120,88,Male,Medium,None,88,30 minutes
German Shepherd,1,7,Female,Medium,None,6.25,30 minutes
German Shepherd,2,16,Female,Medium,None,14,30 minutes
German Shepherd,3,23,Female,Medium,None,21.5,45 minutes
German Shepherd,4,29,Female,Medium,None,33,45 minutes
German Shepherd,5,35,Female,Medium,None,39.5,45 minutes
German Shepherd,6,40,Female,Medium,None,46.5,45 minutes
German Shepherd,7,58,Female,High,None,51,60 minutes
German Shepherd,8,62,Female,High,None,55,60 minutes
German Shepherd,9,64,Female,High,None,57.5,60 minutes
German Shepherd,10,65,Female,High,None,59.5,60 minutes
German Shepherd,11,67,Female,High,None,62,60 minutes
German Shepherd,12,68,Female,High,None,62,60 minutes
German Shepherd,18,68,Female,High,None,63,60 minutes
German Shepherd,24,73,Female,High,None,68,60 minutes
German Shepherd,30,75,Female,High,None,68,60 minutes
German Shepherd,36,77,Female,High,None,70,60 minutes
German Shepherd,42,77,Female,High,None,70,60 minutes
German Shepherd,48,77,Female,High,None,70,60 minutes
German Shepherd,54,77,Female,High,None,70,60 minutes
German Shepherd,60,77,Female,High,None,70,60 minutes
German Shepherd,66,77,Female,High,None,70,60 minutes
German Shepherd,72,77,Female,High,None,70,60 minutes
German Shepherd,78,77,Female,High,None,70,60 minutes
German Shepherd,84,73,Female,High,None,70,45 minutes
German Shepherd,90,73,Female,High,None,70,45 minutes
German Shepherd,96,73,Female,Medium,None,70,45 minutes
German Shepherd,102,73,Female,Medium,None,70,30 minutes
German Shepherd,108,73,Female,Medium,None,70,30 minutes
German Shepherd,114,73,Female,Medium,None,70,30 minutes
German Shepherd,120,73,Female,Medium,None,70,30 minutes
Boxer,1,12,Male,Medium,None,7.25,30 minutes
Boxer,2,21,Male,Medium,None,18,30 minutes
Boxer,3,27,Male,Medium,None,24,30 minutes
Boxer,4,36,Male,Medium,None,32.5,45 minutes
Boxer,5,43,Male,Medium,None,38,45 minutes
Boxer,6,50,Male,Medium,None,44.5,45 minutes
Boxer,7,58,Male,High,None,51.5,60 minutes
Boxer,8,60,Male,High,None,53.5,60 minutes
Boxer,9,63,Male,High,None,56.5,60 minutes
Boxer,10,66,Male,High,None,59,60 minutes
Boxer,11,68,Male,High,None,61.5,60 minutes
Boxer,12,69,Male,High,None,62.5,60 minutes
Boxer,18,72,Male,High,None,65,60 minutes
Boxer,24,72,Male,High,None,65,60 minutes
Boxer,30,75,Male,High,None,70,90 minutes
Boxer,36,75,Male,High,None,70,90 minutes
Boxer,42,75,Male,High,None,70,90 minutes
Boxer,48,75,Male,High,None,70,90 minutes
Boxer,54,75,Male,High,None,70,90 minutes
Boxer,60,75,Male,High,None,70,90 minutes
Boxer,66,75,Male,High,None,70,90 minutes
Boxer,72,75,Male,High,None,70,90 minutes
Boxer,78,75,Male,High,None,70,90 minutes
Boxer,84,75,Male,High,None,70,90 minutes
Boxer,90,75,Male,High,None,70,90 minutes
Boxer,1,11,Female,Medium,None,6.25,30 minutes
Boxer,2,16,Female,Medium,None,14,30 minutes
Boxer,3,24,Female,Medium,None,24,30 minutes
Boxer,4,30,Female,High,None,29,45 minutes
Boxer,5,38,Female,High,None,35,45 minutes
Boxer,6,45,Female,High,None,41.5,45 minutes
Boxer,7,52,Female,High,None,47,60 minutes
Boxer,8,58,Female,High,None,51,60 minutes
Boxer,9,64,Female,High,None,55.5,60 minutes
Boxer,10,64,Female,High,None,55.5,60 minutes
Boxer,11,64,Female,High,None,55.5,60 minutes
Boxer,12,64,Female,High,None,56.5,60 minutes
Boxer,18,69,Female,High,None,59,60 minutes
Boxer,24,72,Female,High,None,60,60 minutes
Boxer,30,77,Female,High,None,65,90 minutes
Boxer,36,77,Female,High,None,65,90 minutes
Boxer,42,77,Female,High,None,65,90 minutes
Boxer,48,77,Female,High,None,65,90 minutes
Boxer,54,64,Female,High,None,65,90 minutes
Boxer,60,64,Female,High,None,65,90 minutes
Boxer,66,64,Female,High,None,65,90 minutes
Boxer,72,64,Female,High,None,65,90 minutes
Boxer,78,69,Female,High,None,65,90 minutes
Boxer,84,72,Female,High,None,65,90 minutes
Boxer,90,64,Female,High,None,65,45 minutes
Boxer,96,64,Female,Medium,None,65,45 minutes
Boxer,102,64,Female,Medium,None,65,30 minutes
Boxer,108,64,Female,Medium,None,65,30 minutes
Boxer,114,69,Female,Medium,None,65,30 minutes
Boxer,120,72,Female,Medium,None,65,30 minutes
